ssh://douwenjie@49.233.47.164:6000/home/c404/data2/douwenjie/.conda/envs/torch/bin/python -u /home/c404/data2/douwenjie/EV_GCN/train_eval_evgcn.py --train=1
 Using GPU in torch
==========       CONFIG      =============
train:1
use_cpu:False
hgc:256
lg:6
lr:0.002
wd:0.0005
num_iter:600
edropout:0.3
dropout:0.4
num_classes:2
ckpt_path:./save_models/ev_gcn
time:230102
device:cuda:1
==========     CONFIG END    =============


===> Phase is train.
  Loading dataset ...

========================== Fold 0 ==========================
  Constructing graph data...
  Number of training samples 783
  Start training...

Epoch: 0,	ce loss: 0.83549,	train acc: 0.43806
Epoch: 1,	ce loss: 0.73402,	train acc: 0.59770
Epoch: 2,	ce loss: 0.69421,	train acc: 0.59004
Epoch: 3,	ce loss: 0.71122,	train acc: 0.57727
Epoch: 4,	ce loss: 0.70844,	train acc: 0.56705
Epoch: 5,	ce loss: 0.68349,	train acc: 0.61686
Epoch: 6,	ce loss: 0.73488,	train acc: 0.62197
Epoch: 7,	ce loss: 0.74184,	train acc: 0.62452
Epoch: 8,	ce loss: 0.78561,	train acc: 0.60536
Epoch: 9,	ce loss: 0.69747,	train acc: 0.60920
Epoch: 10,	ce loss: 0.69801,	train acc: 0.57216
Epoch: 11,	ce loss: 0.69344,	train acc: 0.63218
Epoch: 12,	ce loss: 0.69660,	train acc: 0.61686
Epoch: 13,	ce loss: 0.66895,	train acc: 0.58365
Epoch: 14,	ce loss: 0.70201,	train acc: 0.63474
Epoch: 15,	ce loss: 0.71649,	train acc: 0.64112
Epoch: 16,	ce loss: 0.67773,	train acc: 0.62452
Epoch: 17,	ce loss: 0.71291,	train acc: 0.53512
Epoch: 18,	ce loss: 0.65459,	train acc: 0.63857
Epoch: 19,	ce loss: 0.69621,	train acc: 0.58621
Epoch: 20,	ce loss: 0.67643,	train acc: 0.53512
Epoch: 21,	ce loss: 0.66993,	train acc: 0.56450
Epoch: 22,	ce loss: 0.66404,	train acc: 0.57982
Epoch: 23,	ce loss: 0.70846,	train acc: 0.64112
Epoch: 24,	ce loss: 0.67637,	train acc: 0.63474
Epoch: 25,	ce loss: 0.66633,	train acc: 0.64751
Epoch: 26,	ce loss: 0.67177,	train acc: 0.64112
Epoch: 27,	ce loss: 0.65757,	train acc: 0.65006
Epoch: 28,	ce loss: 0.65721,	train acc: 0.65262
Epoch: 29,	ce loss: 0.67636,	train acc: 0.64879
Epoch: 30,	ce loss: 0.63847,	train acc: 0.67688
Epoch: 31,	ce loss: 0.65518,	train acc: 0.63346
Epoch: 32,	ce loss: 0.66167,	train acc: 0.61686
Epoch: 33,	ce loss: 0.66305,	train acc: 0.62835
Epoch: 34,	ce loss: 0.66449,	train acc: 0.66156
Epoch: 35,	ce loss: 0.66240,	train acc: 0.62452
Epoch: 36,	ce loss: 0.66726,	train acc: 0.65134
Epoch: 37,	ce loss: 0.64084,	train acc: 0.65262
Epoch: 38,	ce loss: 0.62995,	train acc: 0.66539
Epoch: 39,	ce loss: 0.64692,	train acc: 0.66028
Epoch: 40,	ce loss: 0.65346,	train acc: 0.65773
Epoch: 41,	ce loss: 0.66817,	train acc: 0.64368
Epoch: 42,	ce loss: 0.64192,	train acc: 0.65006
Epoch: 43,	ce loss: 0.65044,	train acc: 0.66411
Epoch: 44,	ce loss: 0.66734,	train acc: 0.62708
Epoch: 45,	ce loss: 0.65129,	train acc: 0.66156
Epoch: 46,	ce loss: 0.63127,	train acc: 0.66284
Epoch: 47,	ce loss: 0.64816,	train acc: 0.65006
Epoch: 48,	ce loss: 0.64407,	train acc: 0.65773
Epoch: 49,	ce loss: 0.65107,	train acc: 0.63985
Epoch: 50,	ce loss: 0.63944,	train acc: 0.65262
Epoch: 51,	ce loss: 0.64814,	train acc: 0.65390
Epoch: 52,	ce loss: 0.62854,	train acc: 0.65773
Epoch: 53,	ce loss: 0.65007,	train acc: 0.64623
Epoch: 54,	ce loss: 0.65045,	train acc: 0.65645
Epoch: 55,	ce loss: 0.62455,	train acc: 0.67944
Epoch: 56,	ce loss: 0.65329,	train acc: 0.65645
Epoch: 57,	ce loss: 0.63232,	train acc: 0.67816
Epoch: 58,	ce loss: 0.63505,	train acc: 0.65773
Epoch: 59,	ce loss: 0.63902,	train acc: 0.65517
Epoch: 60,	ce loss: 0.62388,	train acc: 0.66794
Epoch: 61,	ce loss: 0.63706,	train acc: 0.65645
Epoch: 62,	ce loss: 0.63464,	train acc: 0.66411
Epoch: 63,	ce loss: 0.63825,	train acc: 0.66794
Epoch: 64,	ce loss: 0.64317,	train acc: 0.65006
Epoch: 65,	ce loss: 0.64022,	train acc: 0.65134
Epoch: 66,	ce loss: 0.63654,	train acc: 0.65900
Epoch: 67,	ce loss: 0.63946,	train acc: 0.64368
Epoch: 68,	ce loss: 0.62465,	train acc: 0.64879
Epoch: 69,	ce loss: 0.65385,	train acc: 0.63857
Epoch: 70,	ce loss: 0.63694,	train acc: 0.65390
Epoch: 71,	ce loss: 0.62554,	train acc: 0.66539
Epoch: 72,	ce loss: 0.62642,	train acc: 0.67178
Epoch: 73,	ce loss: 0.62969,	train acc: 0.66411
Epoch: 74,	ce loss: 0.63502,	train acc: 0.65134
Epoch: 75,	ce loss: 0.63755,	train acc: 0.65262
Epoch: 76,	ce loss: 0.62848,	train acc: 0.65900
Epoch: 77,	ce loss: 0.64147,	train acc: 0.64240
Epoch: 78,	ce loss: 0.62437,	train acc: 0.68199
Epoch: 79,	ce loss: 0.62320,	train acc: 0.67688
Epoch: 80,	ce loss: 0.62380,	train acc: 0.66284
Epoch: 81,	ce loss: 0.63014,	train acc: 0.66028
Epoch: 82,	ce loss: 0.62558,	train acc: 0.65517
Epoch: 83,	ce loss: 0.68341,	train acc: 0.65390
Epoch: 84,	ce loss: 0.63389,	train acc: 0.66794
Epoch: 85,	ce loss: 0.63418,	train acc: 0.65134
Epoch: 86,	ce loss: 0.62131,	train acc: 0.68710
Epoch: 87,	ce loss: 0.62938,	train acc: 0.65900
Epoch: 88,	ce loss: 0.62186,	train acc: 0.68455
Epoch: 89,	ce loss: 0.63043,	train acc: 0.65262
Epoch: 90,	ce loss: 0.63125,	train acc: 0.66028
Epoch: 91,	ce loss: 0.62010,	train acc: 0.67816
Epoch: 92,	ce loss: 0.62593,	train acc: 0.67816
Epoch: 93,	ce loss: 0.63365,	train acc: 0.66794
Epoch: 94,	ce loss: 0.62565,	train acc: 0.66794
Epoch: 95,	ce loss: 0.61786,	train acc: 0.67816
Epoch: 96,	ce loss: 0.62543,	train acc: 0.67050
Epoch: 97,	ce loss: 0.62908,	train acc: 0.67816
Epoch: 98,	ce loss: 0.61929,	train acc: 0.67433
Epoch: 99,	ce loss: 0.61098,	train acc: 0.68838
Epoch: 100,	ce loss: 0.61877,	train acc: 0.66539
Epoch: 101,	ce loss: 0.63515,	train acc: 0.65262
Epoch: 102,	ce loss: 0.62543,	train acc: 0.66922
Epoch: 103,	ce loss: 0.61483,	train acc: 0.67688
Epoch: 104,	ce loss: 0.60013,	train acc: 0.69987
Epoch: 105,	ce loss: 0.63734,	train acc: 0.67816
Epoch: 106,	ce loss: 0.60883,	train acc: 0.68838
Epoch: 107,	ce loss: 0.63165,	train acc: 0.67688
Epoch: 108,	ce loss: 0.62362,	train acc: 0.66539
Epoch: 109,	ce loss: 0.61201,	train acc: 0.69732
Epoch: 110,	ce loss: 0.62012,	train acc: 0.67050
Epoch: 111,	ce loss: 0.62506,	train acc: 0.66284
Epoch: 112,	ce loss: 0.62919,	train acc: 0.66284
Epoch: 113,	ce loss: 0.61347,	train acc: 0.67561
Epoch: 114,	ce loss: 0.61239,	train acc: 0.67433
Epoch: 115,	ce loss: 0.61446,	train acc: 0.67944
Epoch: 116,	ce loss: 0.61491,	train acc: 0.67305
Epoch: 117,	ce loss: 0.63401,	train acc: 0.65773
Epoch: 118,	ce loss: 0.62474,	train acc: 0.67688
Epoch: 119,	ce loss: 0.63809,	train acc: 0.67433
