ssh://douwenjie@49.233.47.164:6000/home/c404/data2/douwenjie/.conda/envs/torch/bin/python -u /home/c404/data2/douwenjie/EV_GCN/train_eval_evgcn.py --train=1
 Using GPU in torch
==========       CONFIG      =============
train:1
use_cpu:False
hgc:256
lg:6
lr:0.005
wd:0.0005
num_iter:600
edropout:0.3
dropout:0.4
num_classes:2
ckpt_path:./save_models/ev_gcn
time:230102
device:cuda:1
==========     CONFIG END    =============


===> Phase is train.
  Loading dataset ...

========================== Fold 0 ==========================
  Constructing graph data...
  Number of training samples 783
  Start training...

Epoch: 0,	ce loss: 0.83549,	train acc: 0.43806
Epoch: 1,	ce loss: 0.86910,	train acc: 0.58493
Epoch: 2,	ce loss: 0.80399,	train acc: 0.54534
Epoch: 3,	ce loss: 0.71076,	train acc: 0.59770
Epoch: 4,	ce loss: 0.70465,	train acc: 0.59387
Epoch: 5,	ce loss: 0.69323,	train acc: 0.65390
Epoch: 6,	ce loss: 0.69877,	train acc: 0.55045
Epoch: 7,	ce loss: 0.71074,	train acc: 0.62835
Epoch: 8,	ce loss: 0.81868,	train acc: 0.64879
Epoch: 9,	ce loss: 0.77434,	train acc: 0.50958
Epoch: 10,	ce loss: 0.70164,	train acc: 0.51469
Epoch: 11,	ce loss: 0.75534,	train acc: 0.64240
Epoch: 12,	ce loss: 0.71376,	train acc: 0.61175
Epoch: 13,	ce loss: 0.69766,	train acc: 0.53640
Epoch: 14,	ce loss: 0.70521,	train acc: 0.65773
Epoch: 15,	ce loss: 0.72353,	train acc: 0.64368
Epoch: 16,	ce loss: 0.68403,	train acc: 0.64751
Epoch: 17,	ce loss: 0.65817,	train acc: 0.54662
Epoch: 18,	ce loss: 0.64179,	train acc: 0.63857
Epoch: 19,	ce loss: 0.69500,	train acc: 0.59642
Epoch: 20,	ce loss: 0.66911,	train acc: 0.53257
Epoch: 21,	ce loss: 0.65619,	train acc: 0.59770
Epoch: 22,	ce loss: 0.65381,	train acc: 0.62197
Epoch: 23,	ce loss: 0.68012,	train acc: 0.63985
Epoch: 24,	ce loss: 0.66097,	train acc: 0.63218
Epoch: 25,	ce loss: 0.66052,	train acc: 0.65134
Epoch: 26,	ce loss: 0.65823,	train acc: 0.63985
Epoch: 27,	ce loss: 0.64930,	train acc: 0.63602
Epoch: 28,	ce loss: 0.66641,	train acc: 0.64368
Epoch: 29,	ce loss: 0.66852,	train acc: 0.64751
Epoch: 30,	ce loss: 0.63634,	train acc: 0.66667
Epoch: 31,	ce loss: 0.65979,	train acc: 0.65134
Epoch: 32,	ce loss: 0.64209,	train acc: 0.64240
Epoch: 33,	ce loss: 0.64638,	train acc: 0.62963
Epoch: 34,	ce loss: 0.64335,	train acc: 0.66922
Epoch: 35,	ce loss: 0.65134,	train acc: 0.66284
Epoch: 36,	ce loss: 0.66346,	train acc: 0.66028
Epoch: 37,	ce loss: 0.64261,	train acc: 0.66284
Epoch: 38,	ce loss: 0.63161,	train acc: 0.65262
Epoch: 39,	ce loss: 0.64459,	train acc: 0.67944
Epoch: 40,	ce loss: 0.64839,	train acc: 0.64623
Epoch: 41,	ce loss: 0.65140,	train acc: 0.65773
Epoch: 42,	ce loss: 0.66135,	train acc: 0.62835
Epoch: 43,	ce loss: 0.63316,	train acc: 0.67561
Epoch: 44,	ce loss: 0.66112,	train acc: 0.62835
Epoch: 45,	ce loss: 0.63514,	train acc: 0.65262
Epoch: 46,	ce loss: 0.65493,	train acc: 0.65390
Epoch: 47,	ce loss: 0.64991,	train acc: 0.64368
Epoch: 48,	ce loss: 0.64490,	train acc: 0.67433
Epoch: 49,	ce loss: 0.64981,	train acc: 0.64751
Epoch: 50,	ce loss: 0.63890,	train acc: 0.67178
Epoch: 51,	ce loss: 0.63534,	train acc: 0.65390
Epoch: 52,	ce loss: 0.63700,	train acc: 0.67050
Epoch: 53,	ce loss: 0.65041,	train acc: 0.65006
Epoch: 54,	ce loss: 0.64878,	train acc: 0.65134
Epoch: 55,	ce loss: 0.63784,	train acc: 0.67305
Epoch: 56,	ce loss: 0.65122,	train acc: 0.65134
Epoch: 57,	ce loss: 0.62435,	train acc: 0.66667
Epoch: 58,	ce loss: 0.64063,	train acc: 0.66667
Epoch: 59,	ce loss: 0.64585,	train acc: 0.65645
Epoch: 60,	ce loss: 0.64320,	train acc: 0.65262
Epoch: 61,	ce loss: 0.64938,	train acc: 0.64496
Epoch: 62,	ce loss: 0.64434,	train acc: 0.65006
Epoch: 63,	ce loss: 0.64225,	train acc: 0.62708
Epoch: 64,	ce loss: 0.65575,	train acc: 0.64240
Epoch: 65,	ce loss: 0.64968,	train acc: 0.63602
Epoch: 66,	ce loss: 0.64996,	train acc: 0.64879
Epoch: 67,	ce loss: 0.63304,	train acc: 0.65645
Epoch: 68,	ce loss: 0.63324,	train acc: 0.67944
Epoch: 69,	ce loss: 0.65700,	train acc: 0.66028
Epoch: 70,	ce loss: 0.63408,	train acc: 0.66667
Epoch: 71,	ce loss: 0.64190,	train acc: 0.66667
Epoch: 72,	ce loss: 0.62988,	train acc: 0.67178
